"theta.1-1" "theta.2-1" "theta.3-1" "theta.1-2" "theta.2-2" "theta.3-2" "theta.1-3" "theta.2-3" "theta.3-3" "theta.1-4" "theta.2-4" "theta.3-4" "theta.1-5" "theta.2-5" "theta.3-5" "theta.1-6" "theta.2-6" "theta.3-6" "theta.1-7" "theta.2-7" "theta.3-7" "theta.1-8" "theta.2-8" "theta.3-8" "theta.1-9" "theta.2-9" "theta.3-9" "theta.1-10" "theta.2-10" "theta.3-10" "theta.1-11" "theta.2-11" "theta.3-11" "theta.1-12" "theta.2-12" "theta.3-12" "p.1" "p.2" "p.3"
"12" 0.002876173 0.0004655019 0.1026368 0.001588158 2.794801e-05 0.8501582 0.0007253449 0.0001341756 0.02339206 0.002961961 0.9995796 0.001355169 0.9999234 0.0001268659 0.001649135 0.3773503 0.3969686 0.4564428 0.4998466 0.5005874 0.547204 0.8759365 0.751245 0.7129755 0.2101125 0.1151404 0.1129604 0.09240422 0.05931341 0.05391958 0.4751335 0.4777601 0.4347556 0.08380304 0.05415358 0.061285 0.170839 0.6571932 0.1719679
"13" 0.0001007608 0.0002538628 0.1201277 0.001239337 0.0001424588 0.8919759 0.0006542384 9.271093e-05 0.0359067 0.0007991142 0.999248 0.0003193272 0.9998963 4.383844e-05 0.007481954 0.3633546 0.392795 0.4113738 0.5468105 0.4898008 0.4914667 0.8572646 0.757642 0.7103711 0.1755026 0.1207976 0.1207626 0.07628719 0.06845618 0.02983925 0.5222324 0.4698223 0.4335048 0.09906612 0.05391206 0.03869793 0.1843057 0.6459739 0.1697203
"14" 0.001183073 0.0004374057 0.1104314 0.0004049952 0.0008069795 0.8543642 0.0001548726 0.0003611497 0.02873926 0.00632077 0.9998999 0.002084415 0.9988833 0.001689248 5.561696e-05 0.3511961 0.3804726 0.3917448 0.5472805 0.4958658 0.5111244 0.8699692 0.745734 0.6894677 0.1612214 0.1172893 0.12014 0.08036427 0.05581316 0.05316105 0.490759 0.4458864 0.4259742 0.08922437 0.06267948 0.04502025 0.1973034 0.6324203 0.1702763
"15" 0.0005393198 0.0001009783 0.1291004 0.0001759713 2.759793e-05 0.8784237 0.001863094 0.001294518 0.01997467 0.001940097 0.9999006 0.00071275 0.9987273 0.0001465829 0.0004503807 0.3596696 0.3846259 0.4192293 0.4776319 0.5029577 0.5194268 0.8949765 0.7360506 0.723695 0.169055 0.09836615 0.1103821 0.09567842 0.05357009 0.05461005 0.5102244 0.4774066 0.4406066 0.09650661 0.05234865 0.0502832 0.1897913 0.6347935 0.1754152
"16" 0.003574001 0.0001168875 0.1214995 0.002562735 3.256882e-06 0.8453187 0.001910804 0.0004944651 0.01793229 0.0009368078 0.9999582 0.002108907 0.998945 7.037633e-05 0.001275791 0.3504434 0.3915414 0.4045749 0.5301059 0.4983923 0.5330202 0.8754989 0.7460726 0.6973413 0.1884007 0.1100755 0.1146834 0.1175296 0.05897569 0.06376255 0.4863127 0.4726427 0.4423019 0.06757568 0.05498601 0.03517637 0.1791576 0.6383244 0.1825179
"17" 0.001116806 2.954575e-06 0.09631859 0.00367294 0.001954821 0.8848381 0.002719524 7.997553e-06 0.02246553 0.001469153 0.9993911 0.0005856247 0.9984335 0.0009298358 3.624054e-06 0.3836114 0.409315 0.3696475 0.5258292 0.494973 0.535643 0.8885424 0.7421906 0.7093337 0.1971852 0.1140348 0.1159091 0.0784768 0.07220313 0.05474017 0.5105045 0.467463 0.4349766 0.09423542 0.04475756 0.04350165 0.1860657 0.6396844 0.1742499
"18" 7.751194e-05 0.0004100458 0.1172324 0.0006267095 8.94108e-05 0.8516997 0.0005774234 0.0002818846 0.01564838 0.0009388015 0.9995593 0.001104805 0.9983127 6.208858e-05 0.0009019364 0.3876549 0.3884538 0.3769546 0.5121491 0.5145841 0.5100396 0.8620396 0.7491707 0.7070545 0.178685 0.09738459 0.1167437 0.08677161 0.05712739 0.04743926 0.486069 0.4567929 0.4351681 0.07831264 0.05700686 0.04124096 0.1794215 0.6447996 0.1757789
"19" 0.004765039 0.0001270451 0.1135401 0.001011171 0.0025616 0.8739921 0.0009055158 1.436195e-05 0.02834673 0.0002961561 0.9999138 0.002778429 0.994584 0.0005794235 0.0006406739 0.3771887 0.3911124 0.4035299 0.5397196 0.4782336 0.5328975 0.898092 0.7306154 0.7229755 0.1867855 0.1164632 0.1173341 0.08964242 0.06687728 0.05700957 0.4917802 0.4954202 0.4334546 0.0972392 0.05304452 0.04177574 0.1952281 0.6420813 0.1626906
"20" 0.0007140363 0.0003179039 0.1058857 0.002656689 0.0007118487 0.8430028 0.0005274598 0.000379567 0.0252594 0.0002094269 0.9998221 0.0009213605 0.9992774 0.0002031063 0.002343661 0.4154162 0.4032723 0.4374428 0.5299044 0.4977229 0.5389408 0.8769151 0.7418946 0.7119087 0.1882887 0.1061341 0.1243188 0.09442828 0.06007619 0.04103509 0.487973 0.4697411 0.4308295 0.07607357 0.05516224 0.03669079 0.1946352 0.6308952 0.1744696
"21" 0.000418254 0.0009781512 0.1107799 0.0001019222 0.0003882748 0.865278 0.001551487 0.0002710028 0.01842605 0.0004732039 0.9996714 2.66625e-05 0.999807 0.0003227437 0.001096473 0.3649911 0.4137632 0.4048756 0.5203624 0.4975838 0.5359592 0.8588326 0.7407486 0.7040801 0.1833309 0.1098467 0.09754112 0.08372373 0.05971818 0.05432783 0.4917292 0.4862862 0.4488565 0.0841261 0.05297781 0.04936706 0.1811744 0.660084 0.1587416
