"V1","V2","V3"
1.81417957445384e-06,0.999963381919284,3.48039011415835e-05
0.999898215667943,3.14873314773669e-07,0.000101469458741606
1.44353713727893e-06,0.999963019143167,3.5537319695543e-05
1.32986561151619e-06,0.999959479855105,3.91902792833328e-05
0.999942292421726,1.70658806056589e-07,5.75369194673205e-05
1.15838021294023e-06,0.999956569458659,4.22721611288843e-05
2.72980428047308e-06,0.99996039191192,3.68782837999797e-05
4.50450065820516e-07,0.999948542653071,5.10068968628325e-05
1.99534360956524e-06,0.999956539620848,4.1465035541423e-05
1.83420378457446e-05,1.53696586179914e-06,0.999980120996292
1.32986561151619e-06,0.999959479855105,3.91902792833328e-05
1.7978307353367e-06,0.999961434057461,3.67681118038546e-05
0.999942292421726,1.70658806056589e-07,5.75369194673205e-05
1.81417957445384e-06,0.999963381919284,3.48039011415835e-05
2.19100686882645e-06,0.99995422652759,4.3582465541413e-05
4.50450065820516e-07,0.999948542653071,5.10068968628325e-05
9.19058213610683e-06,1.23287703966588e-06,0.999989576540825
0.999939344954265,1.60079852702328e-07,6.04949658830218e-05
0.999892992608973,2.95455648356643e-07,0.000106711935378455
1.15838021294023e-06,0.999956569458659,4.22721611288843e-05
0.999878703609513,3.59962720216504e-07,0.000120936427767035
1.21532894447773e-06,0.999963647989343,3.51366817127539e-05
0.999946623007896,1.92992250432965e-07,5.31839998536524e-05
1.06018361807927e-06,0.999961056154619,3.78836617631657e-05
2.19100686882645e-06,0.99995422652759,4.3582465541413e-05
0.999939344954265,1.60079852702328e-07,6.04949658830218e-05
0.999946623007896,1.92992250432965e-07,5.31839998536524e-05
1.99722301078028e-06,8.36961531784285e-07,0.999997165815458
1.40646201542596e-06,0.999964136872557,3.4456665427538e-05
1.06018361807927e-06,0.999961056154619,3.78836617631657e-05
2.30452487519792e-06,0.999961424789171,3.6270685953481e-05
1.15118048871841e-06,0.999954063221817,4.4785597694146e-05
1.06018361807927e-06,0.999961056154619,3.78836617631657e-05
1.00322192034901e-06,0.999950713148153,4.82836299268945e-05
1.81417957445384e-06,0.999963381919284,3.48039011415835e-05
1.32986561151619e-06,0.999959479855105,3.91902792833328e-05
1.3616193091916e-05,1.05397947379794e-06,0.999985329827434
1.73799331807242e-06,0.999953622970731,4.46390359509555e-05
1.32986561151619e-06,0.999959479855105,3.91902792833328e-05
0.999872313762052,3.3789642322448e-07,0.000127348341524546
2.30452487519792e-06,0.999961424789171,3.6270685953481e-05
2.19100686882645e-06,0.99995422652759,4.3582465541413e-05
1.64801062826462e-06,0.999965441416,3.2910573371751e-05
0.999939344954265,1.60079852702328e-07,6.04949658830218e-05
6.67024525499848e-06,9.73078076806688e-07,0.999992356676668
1.66443274162097e-06,0.999967163494366,3.11720728923375e-05
1.05320329743705e-06,0.999958837401917,4.01093947852074e-05
1.15838021294023e-06,0.999956569458659,4.22721611288843e-05
0.999927650795335,1.83398103811999e-07,7.21658065614882e-05
1.20613627258731e-05,9.62006262971613e-07,0.999986976631011
1.32986561151619e-06,0.999959479855105,3.91902792833328e-05
1.99534360956524e-06,0.999956539620848,4.1465035541423e-05
0.999955276923493,1.5076090788935e-07,4.45723155994286e-05
1.21532894447773e-06,0.999963647989343,3.51366817127539e-05
7.42079306166648e-07,0.999942335809174,5.69221115196369e-05
1.15118048871841e-06,0.999954063221817,4.4785597694146e-05
1.15838021294023e-06,0.999956569458659,4.22721611288843e-05
0.999942292421726,1.70658806056589e-07,5.75369194673205e-05
9.19058213610683e-06,1.23287703966588e-06,0.999989576540825
2.30452487519792e-06,0.999961424789171,3.6270685953481e-05
1.65427940161673e-05,1.22157930849835e-06,0.999982235626675
9.19071431512245e-07,0.999955859793215,4.32211353525726e-05
1.05320329743705e-06,0.999958837401917,4.01093947852074e-05
0.999958419880249,1.80688195655767e-07,4.13994315555462e-05
