"STEPHENS" "ECR" "ECR-ITERATIVE-1"
"z.1" 2 2 2
"z.2" 1 1 1
"z.3" 2 2 2
"z.4" 2 2 2
"z.5" 1 1 1
"z.6" 2 2 2
"z.7" 2 2 2
"z.8" 2 2 2
"z.9" 2 2 2
"z.10" 3 3 3
"z.11" 2 2 2
"z.12" 2 2 2
"z.13" 1 1 1
"z.14" 2 2 2
"z.15" 2 2 2
"z.16" 2 2 2
"z.17" 3 3 3
"z.18" 1 1 1
"z.19" 1 1 1
"z.20" 2 2 2
"z.21" 1 1 1
"z.22" 2 2 2
"z.23" 1 1 1
"z.24" 2 2 2
"z.25" 2 2 2
"z.26" 1 1 1
"z.27" 1 1 1
"z.28" 3 3 3
"z.29" 2 2 2
"z.30" 2 2 2
"z.31" 2 2 2
"z.32" 2 2 2
"z.33" 2 2 2
"z.34" 2 2 2
"z.35" 2 2 2
"z.36" 2 2 2
"z.37" 3 3 3
"z.38" 2 2 2
"z.39" 2 2 2
"z.40" 1 1 1
"z.41" 2 2 2
"z.42" 2 2 2
"z.43" 2 2 2
"z.44" 1 1 1
"z.45" 3 3 3
"z.46" 2 2 2
"z.47" 2 2 2
"z.48" 2 2 2
"z.49" 1 1 1
"z.50" 3 3 3
"z.51" 2 2 2
"z.52" 2 2 2
"z.53" 1 1 1
"z.54" 2 2 2
"z.55" 2 2 2
"z.56" 2 2 2
"z.57" 2 2 2
"z.58" 1 1 1
"z.59" 3 3 3
"z.60" 2 2 2
"z.61" 3 3 3
"z.62" 2 2 2
"z.63" 2 2 2
"z.64" 1 1 1
"z.65" 2 2 2
"z.66" 2 2 2
"z.67" 2 2 2
"z.68" 2 2 2
"z.69" 1 1 1
"z.70" 2 2 2
"z.71" 2 2 2
"z.72" 2 2 2
"z.73" 2 2 2
"z.74" 2 2 2
"z.75" 2 2 2
"z.76" 1 1 1
"z.77" 2 2 2
"z.78" 2 2 2
"z.79" 1 1 1
"z.80" 2 2 2
"z.81" 3 3 3
"z.82" 3 3 3
"z.83" 3 3 3
"z.84" 2 2 2
"z.85" 2 2 2
"z.86" 2 2 2
"z.87" 1 1 1
"z.88" 2 2 2
"z.89" 3 3 3
"z.90" 2 2 2
"z.91" 2 2 2
"z.92" 1 1 1
"z.93" 2 2 2
"z.94" 3 3 3
"z.95" 1 1 1
"z.96" 2 2 2
"z.97" 1 1 1
"z.98" 2 2 2
"z.99" 2 2 2
"z.100" 2 2 2
"z.101" 2 2 2
"z.102" 3 3 3
"z.103" 1 1 1
"z.104" 3 3 3
"z.105" 2 2 2
"z.106" 2 2 2
"z.107" 2 2 2
"z.108" 2 2 2
"z.109" 1 1 1
"z.110" 3 3 3
"z.111" 2 2 2
"z.112" 1 1 1
"z.113" 3 3 3
"z.114" 2 2 2
"z.115" 2 2 2
"z.116" 1 1 1
"z.117" 2 2 2
"z.118" 2 2 2
"z.119" 1 1 1
"z.120" 2 2 2
"z.121" 3 3 3
"z.122" 2 2 2
"z.123" 2 2 2
"z.124" 1 1 1
"z.125" 1 1 1
"z.126" 1 1 1
"z.127" 2 2 2
"z.128" 2 2 2
"z.129" 2 2 2
"z.130" 1 1 1
"z.131" 1 1 1
"z.132" 2 2 2
"z.133" 2 2 2
"z.134" 2 2 2
"z.135" 1 1 1
"z.136" 1 1 1
"z.137" 2 2 2
"z.138" 3 3 3
"z.139" 1 1 1
"z.140" 1 1 1
"z.141" 1 1 1
"z.142" 2 2 2
"z.143" 1 1 1
"z.144" 1 1 1
"z.145" 1 1 1
"z.146" 2 2 2
"z.147" 1 1 1
"z.148" 2 2 2
"z.149" 2 2 2
"z.150" 2 2 2
"z.151" 2 2 2
"z.152" 2 2 2
"z.153" 1 1 1
"z.154" 3 3 3
"z.155" 2 2 2
"z.156" 2 2 2
"z.157" 2 2 2
"z.158" 1 1 1
"z.159" 2 2 2
"z.160" 2 2 2
"z.161" 2 2 2
"z.162" 2 2 2
"z.163" 2 2 2
"z.164" 1 1 1
"z.165" 2 2 2
"z.166" 1 1 1
"z.167" 1 1 1
"z.168" 3 3 3
"z.169" 2 2 2
"z.170" 2 2 2
"z.171" 1 1 1
"z.172" 2 2 2
"z.173" 3 3 3
"z.174" 2 2 2
"z.175" 2 2 2
"z.176" 1 1 1
"z.177" 2 2 2
"z.178" 1 1 1
"z.179" 2 2 2
"z.180" 1 1 1
"z.181" 3 3 3
"z.182" 2 2 2
"z.183" 2 2 2
"z.184" 3 3 3
"z.185" 3 3 3
"z.186" 2 2 2
"z.187" 2 2 2
"z.188" 1 1 1
"z.189" 1 1 1
"z.190" 2 2 2
"z.191" 1 1 1
"z.192" 2 2 2
"z.193" 1 1 1
"z.194" 1 1 1
"z.195" 1 1 1
"z.196" 2 2 2
"z.197" 2 2 2
"z.198" 2 2 2
"z.199" 2 2 2
"z.200" 2 2 2
"z.201" 2 2 2
"z.202" 1 1 1
"z.203" 2 2 2
"z.204" 2 2 2
"z.205" 2 2 2
"z.206" 1 1 1
"z.207" 2 2 2
"z.208" 1 1 1
"z.209" 2 2 2
"z.210" 2 2 2
"z.211" 2 2 2
"z.212" 2 2 2
"z.213" 2 2 2
"z.214" 2 2 2
"z.215" 2 2 2
"z.216" 3 3 3
"z.217" 1 1 1
"z.218" 2 2 2
"z.219" 2 2 2
"z.220" 2 2 2
"z.221" 2 2 2
"z.222" 2 2 2
"z.223" 3 3 3
"z.224" 2 2 2
"z.225" 2 2 2
"z.226" 1 1 1
"z.227" 2 2 2
"z.228" 2 2 2
"z.229" 2 2 2
"z.230" 2 2 2
"z.231" 2 2 2
"z.232" 3 3 3
"z.233" 2 2 2
"z.234" 3 3 3
"z.235" 1 1 1
"z.236" 1 1 1
"z.237" 2 2 2
"z.238" 2 2 2
"z.239" 2 2 2
"z.240" 2 2 2
"z.241" 2 2 2
"z.242" 1 1 1
"z.243" 2 2 2
"z.244" 2 2 2
"z.245" 2 2 2
"z.246" 1 1 1
"z.247" 1 1 1
"z.248" 2 2 2
"z.249" 2 2 2
"z.250" 3 3 3
"z.251" 2 2 2
"z.252" 2 2 2
"z.253" 2 2 2
"z.254" 2 2 2
"z.255" 2 2 2
"z.256" 2 2 2
"z.257" 1 1 1
"z.258" 2 2 2
"z.259" 2 2 2
"z.260" 3 3 3
"z.261" 2 2 2
"z.262" 2 2 2
"z.263" 2 2 2
"z.264" 2 2 2
"z.265" 3 3 3
"z.266" 1 1 1
"z.267" 2 2 2
"z.268" 2 2 2
"z.269" 3 3 3
"z.270" 2 2 2
"z.271" 3 3 3
"z.272" 1 1 1
"z.273" 2 2 2
"z.274" 2 2 2
"z.275" 2 2 2
"z.276" 2 2 2
"z.277" 2 2 2
"z.278" 2 2 2
"z.279" 3 3 3
"z.280" 1 1 1
"z.281" 2 2 2
"z.282" 1 1 1
"z.283" 1 1 1
"z.284" 2 2 2
"z.285" 2 2 2
"z.286" 1 1 1
"z.287" 1 1 1
"z.288" 2 2 2
"z.289" 2 2 2
"z.290" 2 2 2
"z.291" 2 2 2
"z.292" 2 2 2
"z.293" 3 3 3
"z.294" 3 3 3
"z.295" 2 2 2
"z.296" 2 2 2
"z.297" 3 3 3
"z.298" 2 2 2
"z.299" 1 1 1
"z.300" 2 2 2
"z.301" 3 3 3
"z.302" 2 2 2
"z.303" 2 2 2
"z.304" 2 2 2
"z.305" 2 2 2
"z.306" 1 1 1
"z.307" 2 2 2
"z.308" 2 2 2
"z.309" 2 2 2
"z.310" 1 1 1
"z.311" 2 2 2
"z.312" 2 2 2
"z.313" 3 3 3
"z.314" 3 3 3
"z.315" 3 3 3
"z.316" 2 2 2
"z.317" 2 2 2
"z.318" 1 1 1
"z.319" 3 3 3
"z.320" 3 3 3
"z.321" 2 2 2
"z.322" 2 2 2
"z.323" 2 2 2
"z.324" 2 2 2
"z.325" 2 2 2
"z.326" 2 2 2
"z.327" 2 2 2
"z.328" 2 2 2
"z.329" 2 2 2
"z.330" 2 2 2
"z.331" 2 2 2
"z.332" 3 3 3
"z.333" 3 3 3
"z.334" 1 1 1
"z.335" 3 3 3
"z.336" 2 2 2
"z.337" 1 1 1
"z.338" 2 2 2
"z.339" 2 2 2
"z.340" 2 2 2
"z.341" 2 2 2
"z.342" 1 1 1
"z.343" 3 3 3
"z.344" 1 1 1
"z.345" 3 3 3
"z.346" 2 2 2
"z.347" 2 2 2
"z.348" 2 2 2
"z.349" 2 2 2
"z.350" 2 2 2
"z.351" 2 2 2
"z.352" 1 1 1
"z.353" 2 2 2
"z.354" 2 2 2
"z.355" 2 2 2
"z.356" 1 1 1
"z.357" 2 2 2
"z.358" 2 2 2
"z.359" 1 1 1
"z.360" 2 2 2
"z.361" 3 3 3
"z.362" 2 2 2
"z.363" 2 2 2
"z.364" 3 3 3
"z.365" 2 2 2
"z.366" 1 1 1
"z.367" 2 2 2
"z.368" 2 2 2
"z.369" 1 1 1
"z.370" 2 2 2
"z.371" 2 2 2
"z.372" 2 2 2
"z.373" 2 2 2
"z.374" 3 3 3
"z.375" 2 2 2
"z.376" 2 2 2
"z.377" 2 2 2
"z.378" 2 2 2
"z.379" 3 3 3
"z.380" 2 2 2
"z.381" 2 2 2
"z.382" 2 2 2
"z.383" 2 2 2
"z.384" 2 2 2
"z.385" 2 2 2
"z.386" 2 2 2
"z.387" 3 3 3
"z.388" 2 2 2
"z.389" 1 1 1
"z.390" 1 1 1
"z.391" 2 2 2
"z.392" 1 1 1
"z.393" 2 2 2
"z.394" 2 2 2
"z.395" 3 3 3
"z.396" 2 2 2
"z.397" 3 3 3
"z.398" 2 2 2
"z.399" 1 1 1
"z.400" 2 2 2
"z.401" 2 2 2
"z.402" 2 2 2
"z.403" 2 2 2
"z.404" 2 2 2
"z.405" 3 3 3
"z.406" 1 1 1
"z.407" 2 2 2
"z.408" 2 2 2
"z.409" 2 2 2
"z.410" 2 2 2
"z.411" 2 2 2
"z.412" 1 1 1
"z.413" 2 2 2
"z.414" 2 2 2
"z.415" 3 3 3
"z.416" 2 2 2
"z.417" 1 1 1
"z.418" 2 2 2
"z.419" 2 2 2
"z.420" 1 1 1
"z.421" 2 2 2
"z.422" 1 1 1
"z.423" 2 2 2
"z.424" 2 2 2
"z.425" 2 2 2
"z.426" 2 2 2
"z.427" 2 2 2
"z.428" 2 2 2
"z.429" 2 2 2
"z.430" 1 1 1
"z.431" 2 2 2
"z.432" 2 2 2
"z.433" 1 1 1
"z.434" 2 2 2
"z.435" 2 2 2
"z.436" 2 2 2
"z.437" 2 2 2
"z.438" 2 2 2
"z.439" 2 2 2
"z.440" 2 2 2
"z.441" 1 1 1
"z.442" 3 3 3
"z.443" 2 2 2
"z.444" 1 1 1
"z.445" 2 2 2
"z.446" 3 3 3
"z.447" 3 3 3
"z.448" 2 2 2
"z.449" 2 2 2
"z.450" 2 2 2
"z.451" 3 3 3
"z.452" 1 1 1
"z.453" 2 2 2
"z.454" 3 3 3
"z.455" 3 3 3
"z.456" 2 2 2
"z.457" 2 2 2
"z.458" 2 2 2
"z.459" 2 2 2
"z.460" 2 2 2
"z.461" 1 1 1
"z.462" 2 2 2
"z.463" 2 2 2
"z.464" 3 3 3
"z.465" 3 3 3
"z.466" 1 1 1
"z.467" 1 1 1
"z.468" 2 2 2
"z.469" 3 3 3
"z.470" 2 2 2
"z.471" 2 2 2
"z.472" 2 2 2
"z.473" 1 1 1
"z.474" 2 2 2
"z.475" 3 3 3
"z.476" 2 2 2
"z.477" 1 1 1
"z.478" 1 1 1
"z.479" 1 1 1
"z.480" 2 2 2
"z.481" 2 2 2
"z.482" 3 3 3
"z.483" 1 1 1
"z.484" 1 1 1
"z.485" 2 2 2
"z.486" 2 2 2
"z.487" 2 2 2
"z.488" 2 2 2
"z.489" 1 1 1
"z.490" 1 1 1
"z.491" 1 1 1
"z.492" 2 2 2
"z.493" 2 2 2
"z.494" 3 3 3
"z.495" 1 1 1
"z.496" 2 2 2
"z.497" 1 1 1
"z.498" 2 2 2
"z.499" 2 2 2
"z.500" 3 3 3
"z.501" 3 3 3
"z.502" 3 3 3
"z.503" 2 2 2
"z.504" 2 2 2
"z.505" 2 2 2
"z.506" 3 3 3
"z.507" 2 2 2
"z.508" 2 2 2
"z.509" 2 2 2
"z.510" 2 2 2
"z.511" 2 2 2
"z.512" 2 2 2
"z.513" 1 1 1
"z.514" 2 2 2
"z.515" 3 3 3
"z.516" 2 2 2
"z.517" 2 2 2
"z.518" 2 2 2
"z.519" 2 2 2
"z.520" 2 2 2
