"STEPHENS" "ECR" "ECR-ITERATIVE-1"
"z.521" 2 2 2
"z.522" 2 2 2
"z.523" 2 2 2
"z.524" 2 2 2
"z.525" 3 3 3
"z.526" 2 2 2
"z.527" 2 2 2
"z.528" 2 2 2
"z.529" 1 1 1
"z.530" 2 2 2
"z.531" 2 2 2
"z.532" 2 2 2
"z.533" 2 2 2
"z.534" 2 2 2
"z.535" 2 2 2
"z.536" 1 1 1
"z.537" 2 2 2
"z.538" 2 2 2
"z.539" 2 2 2
"z.540" 1 1 1
"z.541" 2 2 2
"z.542" 2 2 2
"z.543" 3 3 3
"z.544" 2 2 2
"z.545" 2 2 2
"z.546" 1 1 1
"z.547" 2 2 2
"z.548" 2 2 2
"z.549" 2 2 2
"z.550" 2 2 2
"z.551" 2 2 2
"z.552" 2 2 2
"z.553" 2 2 2
"z.554" 2 2 2
"z.555" 2 2 2
"z.556" 2 2 2
"z.557" 3 3 3
"z.558" 1 1 1
"z.559" 3 3 3
"z.560" 2 2 2
"z.561" 2 2 2
"z.562" 3 3 3
"z.563" 2 2 2
"z.564" 2 2 2
"z.565" 2 2 2
"z.566" 2 2 2
"z.567" 2 2 2
"z.568" 2 2 2
"z.569" 2 2 2
"z.570" 2 2 2
"z.571" 2 2 2
"z.572" 2 2 2
"z.573" 3 3 3
"z.574" 2 2 2
"z.575" 3 3 3
"z.576" 2 2 2
"z.577" 2 2 2
"z.578" 2 2 2
"z.579" 2 2 2
"z.580" 2 2 2
"z.581" 1 1 1
"z.582" 2 2 2
"z.583" 2 2 2
"z.584" 2 2 2
"z.585" 2 2 2
"z.586" 2 2 2
"z.587" 2 2 2
"z.588" 2 2 2
"z.589" 2 2 2
"z.590" 2 2 2
"z.591" 3 3 3
"z.592" 2 2 2
"z.593" 2 2 2
"z.594" 2 2 2
"z.595" 2 2 2
"z.596" 2 2 2
"z.597" 1 1 1
"z.598" 2 2 2
"z.599" 2 2 2
"z.600" 3 3 3
"z.601" 2 2 2
"z.602" 2 2 2
"z.603" 2 2 2
"z.604" 3 3 3
"z.605" 3 3 3
"z.606" 3 3 3
"z.607" 3 3 3
"z.608" 2 2 2
"z.609" 3 3 3
"z.610" 3 3 3
"z.611" 3 3 3
"z.612" 3 3 3
"z.613" 3 3 3
"z.614" 2 2 2
"z.615" 3 3 3
"z.616" 3 3 3
"z.617" 2 2 2
"z.618" 2 2 2
"z.619" 3 3 3
"z.620" 2 2 2
"z.621" 3 3 3
"z.622" 2 2 2
"z.623" 2 2 2
"z.624" 3 3 3
"z.625" 2 2 2
"z.626" 1 1 1
"z.627" 2 2 2
"z.628" 3 3 3
"z.629" 2 2 2
"z.630" 1 1 1
"z.631" 2 2 2
"z.632" 2 2 2
"z.633" 2 2 2
"z.634" 1 1 1
"z.635" 2 2 2
"z.636" 2 2 2
"z.637" 2 2 2
"z.638" 2 2 2
"z.639" 2 2 2
"z.640" 2 2 2
"z.641" 2 2 2
"z.642" 2 2 2
"z.643" 1 1 1
"z.644" 2 2 2
"z.645" 2 2 2
"z.646" 2 2 2
"z.647" 2 2 2
"z.648" 2 2 2
"z.649" 3 3 3
"z.650" 2 2 2
"z.651" 2 2 2
"z.652" 2 2 2
"z.653" 2 2 2
"z.654" 2 2 2
"z.655" 2 2 2
"z.656" 1 1 1
"z.657" 3 3 3
"z.658" 3 3 3
"z.659" 2 2 2
"z.660" 2 2 2
"z.661" 2 2 2
"z.662" 1 1 1
"z.663" 3 3 3
"z.664" 2 2 2
"z.665" 2 2 2
"z.666" 1 1 1
"z.667" 1 1 1
"z.668" 2 2 2
"z.669" 2 2 2
"z.670" 1 1 1
"z.671" 2 2 2
"z.672" 2 2 2
"z.673" 2 2 2
"z.674" 2 2 2
"z.675" 2 2 2
"z.676" 3 3 3
"z.677" 2 2 2
"z.678" 2 2 2
"z.679" 2 2 2
"z.680" 2 2 2
"z.681" 2 2 2
"z.682" 2 2 2
"z.683" 2 2 2
"z.684" 2 2 2
"z.685" 2 2 2
"z.686" 2 2 2
"z.687" 1 1 1
"z.688" 3 3 3
"z.689" 1 1 1
"z.690" 2 2 2
"z.691" 2 2 2
"z.692" 1 1 1
"z.693" 1 1 1
"z.694" 2 2 2
"z.695" 3 3 3
"z.696" 1 1 1
"z.697" 1 1 1
"z.698" 2 2 2
"z.699" 2 2 2
"z.700" 2 2 2
"z.701" 2 2 2
"z.702" 3 3 3
"z.703" 1 1 1
"z.704" 2 2 2
"z.705" 1 1 1
"z.706" 2 2 2
"z.707" 2 2 2
"z.708" 1 1 1
"z.709" 2 2 2
"z.710" 2 2 2
"z.711" 3 3 3
"z.712" 2 2 2
"z.713" 1 1 1
"z.714" 2 2 2
"z.715" 3 3 3
"z.716" 2 2 2
"z.717" 2 2 2
"z.718" 2 2 2
"z.719" 2 2 2
"z.720" 2 2 2
"z.721" 2 2 2
"z.722" 2 2 2
"z.723" 2 2 2
"z.724" 1 1 1
"z.725" 2 2 2
"z.726" 2 2 2
"z.727" 2 2 2
"z.728" 3 3 3
"z.729" 2 2 2
"z.730" 2 2 2
"z.731" 2 2 2
"z.732" 3 3 3
"z.733" 2 2 2
"z.734" 2 2 2
"z.735" 1 1 1
"z.736" 2 2 2
"z.737" 1 1 1
"z.738" 3 3 3
"z.739" 2 2 2
"z.740" 2 2 2
"z.741" 2 2 2
"z.742" 2 2 2
"z.743" 2 2 2
"z.744" 3 3 3
"z.745" 2 2 2
"z.746" 2 2 2
"z.747" 2 2 2
"z.748" 2 2 2
"z.749" 1 1 1
"z.750" 1 1 1
"z.751" 1 1 1
"z.752" 3 3 3
"z.753" 2 2 2
"z.754" 3 3 3
"z.755" 2 2 2
"z.756" 2 2 2
"z.757" 2 2 2
"z.758" 2 2 2
"z.759" 1 1 1
"z.760" 2 2 2
"z.761" 2 2 2
"z.762" 2 2 2
"z.763" 2 2 2
"z.764" 2 2 2
"z.765" 2 2 2
"z.766" 2 2 2
"z.767" 2 2 2
"z.768" 3 3 3
"z.769" 1 1 1
"z.770" 2 2 2
"z.771" 3 3 3
"z.772" 2 2 2
"z.773" 2 2 2
"z.774" 2 2 2
"z.775" 1 1 1
"z.776" 2 2 2
"z.777" 1 1 1
"z.778" 1 1 1
"z.779" 2 2 2
"z.780" 2 2 2
"z.781" 2 2 2
"z.782" 2 2 2
"z.783" 2 2 2
"z.784" 2 2 2
"z.785" 2 2 2
"z.786" 3 3 3
"z.787" 1 1 1
"z.788" 2 2 2
"z.789" 1 1 1
"z.790" 3 3 3
"z.791" 2 2 2
"z.792" 2 2 2
"z.793" 2 2 2
"z.794" 2 2 2
"z.795" 2 2 2
"z.796" 3 3 3
"z.797" 2 2 2
"z.798" 3 3 3
"z.799" 1 1 1
"z.800" 2 2 2
"z.801" 1 1 1
"z.802" 2 2 2
"z.803" 2 2 2
"z.804" 2 2 2
"z.805" 1 1 1
"z.806" 2 2 2
"z.807" 2 2 2
"z.808" 2 2 2
"z.809" 1 1 1
"z.810" 2 2 2
"z.811" 3 3 3
"z.812" 1 1 1
"z.813" 2 2 2
"z.814" 2 2 2
"z.815" 2 2 2
"z.816" 2 2 2
"z.817" 1 1 1
"z.818" 2 2 2
"z.819" 3 3 3
"z.820" 1 1 1
"z.821" 1 1 1
"z.822" 2 2 2
"z.823" 1 1 1
"z.824" 2 2 2
"z.825" 2 2 2
"z.826" 2 2 2
"z.827" 3 3 3
"z.828" 2 2 2
"z.829" 2 2 2
"z.830" 2 2 2
"z.831" 2 2 2
"z.832" 2 2 2
"z.833" 2 2 2
"z.834" 2 2 2
"z.835" 2 2 2
"z.836" 2 2 2
"z.837" 2 2 2
"z.838" 2 2 2
"z.839" 3 3 3
"z.840" 2 2 2
"z.841" 2 2 2
"z.842" 2 2 2
"z.843" 3 3 3
"z.844" 2 2 2
"z.845" 2 2 2
"z.846" 2 2 2
"z.847" 2 2 2
"z.848" 3 3 3
"z.849" 2 2 2
"z.850" 2 2 2
"z.851" 2 2 2
"z.852" 2 2 2
"z.853" 1 1 1
"z.854" 2 2 2
"z.855" 2 2 2
"z.856" 3 3 3
"z.857" 2 2 2
"z.858" 2 2 2
"z.859" 3 3 3
"z.860" 3 3 3
"z.861" 2 2 2
"z.862" 2 2 2
"z.863" 2 2 2
"z.864" 2 2 2
"z.865" 2 2 2
"z.866" 2 2 2
"z.867" 3 3 3
"z.868" 3 3 3
"z.869" 2 2 2
"z.870" 1 1 1
"z.871" 2 2 2
"z.872" 2 2 2
"z.873" 2 2 2
"z.874" 2 2 2
"z.875" 2 2 2
"z.876" 2 2 2
"z.877" 2 2 2
"z.878" 2 2 2
"z.879" 1 1 1
"z.880" 2 2 2
"z.881" 2 2 2
"z.882" 2 2 2
"z.883" 2 2 2
"z.884" 2 2 2
"z.885" 2 2 2
"z.886" 2 2 2
"z.887" 2 2 2
"z.888" 2 2 2
"z.889" 1 1 1
"z.890" 3 3 3
"z.891" 2 2 2
"z.892" 2 2 2
"z.893" 2 2 2
"z.894" 1 1 1
"z.895" 1 1 1
"z.896" 2 2 2
"z.897" 1 1 1
"z.898" 1 1 1
"z.899" 2 2 2
"z.900" 3 3 3
"z.901" 3 3 3
"z.902" 2 2 2
"z.903" 3 3 3
"z.904" 3 3 3
"z.905" 2 2 2
"z.906" 3 3 3
"z.907" 1 1 1
"z.908" 2 2 2
"z.909" 2 2 2
"z.910" 2 2 2
"z.911" 2 2 2
"z.912" 2 2 2
"z.913" 3 3 3
"z.914" 1 1 1
"z.915" 2 2 2
"z.916" 2 2 2
"z.917" 2 2 2
"z.918" 2 2 2
"z.919" 2 2 2
"z.920" 2 2 2
"z.921" 3 3 3
"z.922" 2 2 2
"z.923" 2 2 2
"z.924" 2 2 2
"z.925" 2 2 2
"z.926" 2 2 2
"z.927" 2 2 2
"z.928" 3 3 3
"z.929" 2 2 2
"z.930" 1 1 1
"z.931" 2 2 2
"z.932" 2 2 2
"z.933" 3 3 3
"z.934" 1 1 1
"z.935" 2 2 2
"z.936" 3 3 3
"z.937" 2 2 2
"z.938" 2 2 2
"z.939" 2 2 2
"z.940" 2 2 2
"z.941" 1 1 1
"z.942" 1 1 1
"z.943" 3 3 3
"z.944" 2 2 2
"z.945" 2 2 2
"z.946" 3 3 3
"z.947" 3 3 3
"z.948" 2 2 2
"z.949" 2 2 2
"z.950" 2 2 2
"z.951" 2 2 2
"z.952" 1 1 1
"z.953" 2 2 2
"z.954" 2 2 2
"z.955" 1 1 1
"z.956" 2 2 2
"z.957" 2 2 2
"z.958" 2 2 2
"z.959" 1 1 1
"z.960" 1 1 1
"z.961" 2 2 2
"z.962" 2 2 2
"z.963" 2 2 2
"z.964" 1 1 1
"z.965" 1 1 1
"z.966" 2 2 2
"z.967" 2 2 2
"z.968" 1 1 1
"z.969" 2 2 2
"z.970" 2 2 2
"z.971" 2 2 2
"z.972" 2 2 2
"z.973" 2 2 2
"z.974" 2 2 2
"z.975" 1 1 1
"z.976" 2 2 2
"z.977" 2 2 2
"z.978" 2 2 2
"z.979" 2 2 2
"z.980" 1 1 1
"z.981" 2 2 2
"z.982" 2 2 2
"z.983" 3 3 3
"z.984" 1 1 1
"z.985" 1 1 1
"z.986" 2 2 2
"z.987" 3 3 3
"z.988" 2 2 2
"z.989" 1 1 1
"z.990" 2 2 2
"z.991" 3 3 3
"z.992" 2 2 2
"z.993" 2 2 2
"z.994" 2 2 2
"z.995" 2 2 2
"z.996" 2 2 2
"z.997" 3 3 3
"z.998" 1 1 1
"z.999" 2 2 2
"z.1000" 2 2 2
"z.1001" 2 2 2
"z.1002" 2 2 2
"z.1003" 2 2 2
"z.1004" 2 2 2
"z.1005" 2 2 2
"z.1006" 2 2 2
"z.1007" 1 1 1
"z.1008" 3 3 3
"z.1009" 1 1 1
"z.1010" 2 2 2
"z.1011" 2 2 2
"z.1012" 3 3 3
"z.1013" 2 2 2
"z.1014" 3 3 3
"z.1015" 3 3 3
"z.1016" 2 2 2
"z.1017" 2 2 2
"z.1018" 2 2 2
"z.1019" 2 2 2
"z.1020" 2 2 2
"z.1021" 2 2 2
"z.1022" 2 2 2
"z.1023" 2 2 2
"z.1024" 2 2 2
"z.1025" 2 2 2
"z.1026" 2 2 2
"z.1027" 2 2 2
"z.1028" 3 3 3
"z.1029" 2 2 2
"z.1030" 2 2 2
"z.1031" 2 2 2
"z.1032" 3 3 3
"z.1033" 2 2 2
"z.1034" 2 2 2
"z.1035" 2 2 2
"z.1036" 3 3 3
"z.1037" 2 2 2
"z.1038" 2 2 2
"z.1039" 2 2 2
"z.1040" 2 2 2
"z.1041" 2 2 2
"z.1042" 1 1 1
"z.1043" 2 2 2
"z.1044" 3 3 3
"z.1045" 2 2 2
"z.1046" 2 2 2
"z.1047" 2 2 2
"z.1048" 2 2 2
"z.1049" 2 2 2
"z.1050" 3 3 3
"z.1051" 2 2 2
"z.1052" 1 1 1
"z.1053" 2 2 2
"z.1054" 1 1 1
"z.1055" 3 3 3
"z.1056" 2 2 2
"z.1057" 2 2 2
"z.1058" 2 2 2
"z.1059" 3 3 3
"z.1060" 2 2 2
"z.1061" 1 1 1
"z.1062" 3 3 3
"z.1063" 3 3 3
"z.1064" 2 2 2
"z.1065" 2 2 2
"z.1066" 2 2 2
"z.1067" 3 3 3
"z.1068" 2 2 2
"z.1069" 1 1 1
"z.1070" 1 1 1
"z.1071" 3 3 3
"z.1072" 3 3 3
"z.1073" 1 1 1
"z.1074" 2 2 2
"z.1075" 2 2 2
"z.1076" 2 2 2
"z.1077" 1 1 1
"z.1078" 2 2 2
"z.1079" 1 1 1
"z.1080" 2 2 2
"z.1081" 2 2 2
"z.1082" 2 2 2
"z.1083" 2 2 2
"z.1084" 2 2 2
"z.1085" 2 2 2
"z.1086" 1 1 1
"z.1087" 2 2 2
"z.1088" 3 3 3
"z.1089" 2 2 2
"z.1090" 3 3 3
"z.1091" 3 3 3
"z.1092" 1 1 1
"z.1093" 3 3 3
"z.1094" 2 2 2
"z.1095" 2 2 2
"z.1096" 2 2 2
"z.1097" 2 2 2
"z.1098" 2 2 2
"z.1099" 2 2 2
"z.1100" 2 2 2
"z.1101" 3 3 3
"z.1102" 3 3 3
"z.1103" 2 2 2
"z.1104" 1 1 1
"z.1105" 2 2 2
"z.1106" 2 2 2
"z.1107" 2 2 2
"z.1108" 2 2 2
"z.1109" 2 2 2
"z.1110" 1 1 1
"z.1111" 2 2 2
"z.1112" 2 2 2
"z.1113" 2 2 2
"z.1114" 1 1 1
"z.1115" 2 2 2
"z.1116" 2 2 2
"z.1117" 1 1 1
"z.1118" 2 2 2
"z.1119" 2 2 2
"z.1120" 1 1 1
"z.1121" 3 3 3
"z.1122" 2 2 2
"z.1123" 1 1 1
"z.1124" 1 1 1
"z.1125" 2 2 2
"z.1126" 2 2 2
"z.1127" 2 2 2
"z.1128" 2 2 2
"z.1129" 2 2 2
"z.1130" 2 2 2
"z.1131" 2 2 2
"z.1132" 3 3 3
"z.1133" 1 1 1
"z.1134" 2 2 2
"z.1135" 2 2 2
"z.1136" 2 2 2
"z.1137" 2 2 2
"z.1138" 1 1 1
"z.1139" 2 2 2
"z.1140" 2 2 2
"z.1141" 2 2 2
"z.1142" 2 2 2
"z.1143" 2 2 2
"z.1144" 3 3 3
"z.1145" 2 2 2
"z.1146" 2 2 2
"z.1147" 3 3 3
"z.1148" 3 3 3
"z.1149" 2 2 2
