"theta.1-1" "theta.2-1" "theta.3-1" "theta.4-1" "theta.5-1" "theta.6-1" "theta.1-2" "theta.2-2" "theta.3-2" "theta.4-2" "theta.5-2" "theta.6-2" "theta.1-3" "theta.2-3" "theta.3-3" "theta.4-3" "theta.5-3" "theta.6-3" "theta.1-4" "theta.2-4" "theta.3-4" "theta.4-4" "theta.5-4" "theta.6-4" "theta.1-5" "theta.2-5" "theta.3-5" "theta.4-5" "theta.5-5" "theta.6-5" "theta.1-6" "theta.2-6" "theta.3-6" "theta.4-6" "theta.5-6" "theta.6-6" "theta.1-7" "theta.2-7" "theta.3-7" "theta.4-7" "theta.5-7" "theta.6-7" "theta.1-8" "theta.2-8" "theta.3-8" "theta.4-8" "theta.5-8" "theta.6-8" "theta.1-9" "theta.2-9" "theta.3-9" "theta.4-9" "theta.5-9" "theta.6-9" "theta.1-10" "theta.2-10" "theta.3-10" "theta.4-10" "theta.5-10" "theta.6-10" "theta.1-11" "theta.2-11" "theta.3-11" "theta.4-11" "theta.5-11" "theta.6-11" "theta.1-12" "theta.2-12" "theta.3-12" "theta.4-12" "theta.5-12" "theta.6-12" "p.1" "p.2" "p.3" "p.4" "p.5" "p.6"
"11" 0.04664662 0.0002068163 0.0001466274 0.001838469 0.9913056 0.00108288 0.01105892 0.0004256066 0.001150917 0.0001274491 0.02852129 0.9989918 0.9920467 0.000151148 0.0006977022 0.004599766 0.0009754884 0.003755724 0.05271312 0.9993262 0.001812665 0.9985346 0.008571213 0.003912908 0.05490537 0.0001048313 0.9990333 0.001098158 0.002989211 0.0004726729 0.3852487 0.3776587 0.3832787 0.5084772 0.4415064 0.3785579 0.7673197 0.4929276 0.5125598 0.5416532 0.5287569 0.507564 0.01739852 0.6545269 0.8942087 0.920908 0.002609695 0.8098799 0.1302828 0.04253585 0.1840468 0.2895793 0.03080281 0.1216629 0.005178543 0.01431506 0.08305491 0.1962297 0.009939634 0.06978765 0.03218193 0.4331731 0.5046638 0.5838385 0.1901737 0.4936599 0.01031941 0.005746032 0.07924262 0.1591152 0.003129257 0.04602018 0.003996792 0.4807569 0.1787899 0.165894 0.01879167 0.1517706
"12" 0.09637653 0.0002121517 0.001652419 0.0002884052 0.9842656 7.985232e-05 0.006429708 0.0001767106 0.000500376 0.0005382721 0.04119494 0.9997017 0.9399168 0.0004621154 0.001975683 0.001917667 0.04470971 0.0001486467 0.004297687 0.9997996 0.00601401 0.9996346 0.03612677 0.0004273967 0.1181133 0.003599656 0.9981983 0.0007215726 0.008472906 0.0002591044 0.5372617 0.364914 0.395983 0.5061385 0.4454703 0.3800974 0.6591539 0.5167075 0.546206 0.527451 0.5380544 0.5510638 0.0855816 0.668906 0.8702906 0.9307414 0.00773832 0.817031 0.0007241275 0.03869568 0.214903 0.2517396 0.01966104 0.09454808 0.007799168 0.01266937 0.103507 0.1805942 0.0009447559 0.04465822 0.09675553 0.403895 0.5191383 0.6056108 0.2461551 0.4663722 0.007355344 0.008107537 0.1053518 0.1565038 0.005746269 0.05319401 0.005364466 0.4372429 0.1798479 0.1968618 0.0208078 0.1598752
"13" 0.2335644 0.0001963313 0.0005780564 0.001717909 0.9747615 0.0002496254 0.1251761 0.0001960469 0.00498219 0.000189137 0.0157332 0.9970677 0.9944973 0.0004453099 0.0007545421 0.0008869312 0.01641176 0.0005358433 0.05107273 0.999702 0.002041565 0.9993612 0.01079315 0.00137216 0.04612134 0.001540933 0.9995241 8.987211e-05 0.0006581281 0.0007228742 0.3567512 0.3461177 0.3857726 0.5081089 0.5952184 0.3883212 0.3431529 0.494075 0.5249873 0.4997966 0.595745 0.5106622 0.03333962 0.6759716 0.847951 0.9301424 0.003284147 0.83089 0.02662182 0.04086147 0.2201602 0.3004519 0.01586115 0.1250067 0.05230853 0.01955618 0.1015204 0.1874843 0.0001320123 0.06284986 0.01339081 0.3943739 0.5319432 0.6041036 0.3697247 0.4487581 0.1708174 0.00412991 0.1059107 0.1981806 0.005053479 0.04685053 0.004718049 0.4735242 0.1826043 0.1652675 0.02294307 0.1509429
"14" 0.02450242 0.000340655 0.0004937443 0.00228996 0.982667 0.0008304096 0.05306332 0.0001072873 0.001745527 0.001431055 0.02440837 0.9984475 0.9992643 0.000464944 0.001686345 0.0007756729 0.007358153 0.000522465 0.03891533 0.9984401 0.003562759 0.9997551 0.03035303 0.005683703 0.009722687 0.0003311524 0.9996481 0.001153324 0.01565909 0.0026338 0.5103921 0.3549837 0.3851777 0.5467034 0.5248375 0.3776594 0.8316912 0.4931674 0.5214001 0.5127305 0.5126428 0.504557 0.04004258 0.6817608 0.8819123 0.9611603 0.02213227 0.803575 0.05786086 0.04589869 0.2047426 0.3059741 0.004766141 0.1316259 0.002691015 0.009703387 0.1118309 0.2059436 0.01039418 0.05524224 0.06577507 0.431535 0.4886562 0.5681669 0.1763876 0.475686 0.07014659 0.01577556 0.09126847 0.167496 0.0525801 0.07527036 0.003719997 0.4728133 0.1844789 0.1674142 0.01898503 0.1525886
"15" 0.0162659 0.0002599774 0.001881246 0.003251622 0.9734886 0.004263931 0.007057179 0.0003744608 0.0005677193 0.001942592 0.004666933 0.9992049 0.905356 0.0008010893 0.000233819 0.001057869 0.02229815 0.00540914 0.0575035 0.9988697 0.003762005 0.9951261 0.01762818 0.0005979759 0.112633 0.001453014 0.9999372 0.0001577432 0.04491802 3.043164e-05 0.3494206 0.3578409 0.3422605 0.5550103 0.4617296 0.4482221 0.8101015 0.5067388 0.5110332 0.5258539 0.5799715 0.4893789 0.001676137 0.6733012 0.8839918 0.9182905 0.003341285 0.8180465 0.07740523 0.0568988 0.1875328 0.2231535 0.002416674 0.1288387 0.06008446 0.0128655 0.08675029 0.1951485 0.008769161 0.04299385 0.001845107 0.4376821 0.4815737 0.5919059 0.2043301 0.4763333 0.04002492 0.005315385 0.09287453 0.232996 0.02053059 0.06449644 0.004106754 0.4869897 0.1963515 0.1410021 0.01847026 0.1530796
"16" 0.006198984 0.0007229358 0.001200865 0.002865023 0.9996642 0.000286119 0.06033781 0.000668062 0.0006489824 0.0006098359 0.02752801 0.9962001 0.8672397 0.0006175798 0.0002534628 0.005031006 0.005766659 0.0004154039 0.006875036 0.9998152 0.004358764 0.9997099 0.01373458 0.008439232 0.07312371 0.002411484 0.9943383 0.002442571 0.009666879 0.004851147 0.3883602 0.3728791 0.3906593 0.5061435 0.6160118 0.4251049 0.7608412 0.4971145 0.4945131 0.5049587 0.5796839 0.5451113 0.09639136 0.6610428 0.8517432 0.9510074 0.001912138 0.8480039 0.1419504 0.0449611 0.1791481 0.2968907 0.007872616 0.1732537 0.1282349 0.01431005 0.0929077 0.1857018 0.00973808 0.0578401 0.0311107 0.458872 0.4807724 0.5160072 0.2801404 0.4862613 0.009952777 0.001558475 0.06913382 0.1860946 0.02902236 0.04155061 0.004406977 0.4744589 0.1894725 0.1620107 0.01889164 0.1507593
"17" 0.0323286 0.000746927 0.0001894425 0.002048433 0.9716406 0.001657404 0.08295191 0.0001387689 2.594515e-05 0.0004066856 0.011627 0.9978372 0.7755888 0.0003815458 0.002205671 0.001041764 0.001537201 0.006415492 0.02477679 0.9999021 0.001008538 0.9998121 0.005033879 0.000906669 0.0007142316 0.0006671183 0.999603 0.001165579 0.0006719565 0.001952619 0.301455 0.3575702 0.3943505 0.4966965 0.4184027 0.3690306 0.8925035 0.4909592 0.5210282 0.5129787 0.542842 0.5152603 0.05000619 0.6697851 0.8913828 0.9075488 0.03393772 0.8342863 0.03109448 0.05921609 0.1792984 0.2609394 0.006571505 0.1624582 0.03932967 0.01434724 0.07661079 0.1936818 0.01710187 0.05254646 0.0625239 0.4091088 0.5340327 0.6747905 0.3043171 0.4508185 0.1869022 0.0009464896 0.09725715 0.2282065 0.0114292 0.03412117 0.004506941 0.4837843 0.1876649 0.1613824 0.02087617 0.1417853
"18" 0.1194557 0.0005911883 0.001248734 0.001323342 0.9990384 0.0007203956 0.02951315 0.001144274 0.001333923 0.0009898938 0.01044474 0.9971868 0.8937613 0.0001799047 0.001042546 0.002343357 0.03013413 0.001790546 0.04561771 0.9994759 0.0007087903 0.9964952 0.01827497 9.031632e-06 0.04189275 0.0002919914 0.997618 0.003235153 0.03666558 0.002878915 0.4786726 0.3619936 0.385247 0.546894 0.4674552 0.3765323 0.747643 0.5047673 0.5469856 0.571519 0.5877825 0.4979635 0.1836708 0.6697262 0.8847255 0.9700939 0.021351 0.8154055 0.03245758 0.06582437 0.1725369 0.3487076 0.01327725 0.1402028 0.01932182 0.02525696 0.1049192 0.1838174 0.01418419 0.07190825 0.05031448 0.4321521 0.5171798 0.6619618 0.3391097 0.476934 0.1799304 0.01192596 0.1099634 0.2095085 0.0224186 0.02982537 0.004835567 0.5160481 0.1918654 0.1217479 0.01395762 0.1515454
"19" 0.004812383 0.0007049931 0.0004459829 0.00410819 0.9954914 0.001213499 0.01017052 0.001812926 0.003929229 0.0004878642 0.01227083 0.9994971 0.9722783 0.0001711943 0.0002847451 0.00196655 0.01320925 0.001939508 0.01539693 0.9992064 0.0009606554 0.9997513 0.004200927 4.628751e-06 0.07690058 0.0005107603 0.999478 0.001845476 0.005321002 0.0009581716 0.6418626 0.3573173 0.3730534 0.558485 0.5402152 0.4135114 0.8142134 0.4992205 0.5118719 0.4880055 0.5878049 0.5169814 0.01555323 0.6969741 0.8771503 0.9578414 0.002098324 0.7960042 0.02133353 0.05375623 0.1678441 0.2569781 0.009905054 0.1321768 0.05908519 0.009902428 0.09797631 0.23198 0.0132438 0.07099343 0.1075963 0.4306748 0.5423512 0.6122439 0.3345043 0.512066 0.06082128 0.007652162 0.08111902 0.213085 0.05313457 0.07887212 0.005317969 0.488004 0.1832829 0.1509855 0.01920568 0.1532039
"20" 0.05908387 0.001049014 0.001519307 0.0006731042 0.9967221 0.002726778 0.1158953 0.0003931697 0.005207889 0.00497348 0.001944877 0.9996329 0.9901411 0.0005619965 0.0003307064 0.0012248 0.002219189 0.001773053 0.03124204 0.9965571 0.0001362258 0.997738 0.04251213 0.003555695 0.09492562 9.520487e-05 0.9989718 0.0002996614 0.02067593 0.0007846523 0.3755382 0.3566092 0.3967605 0.5823489 0.45687 0.3894278 0.866184 0.4902409 0.5080548 0.5266979 0.4740302 0.5272751 0.07545105 0.688379 0.8690235 0.9491586 0.01121752 0.8254017 0.06922254 0.06122346 0.1959115 0.3231236 0.0166738 0.1563721 0.06169166 0.01582502 0.1072363 0.2009978 0.03785269 0.05288072 0.06072061 0.4188418 0.5112575 0.6314493 0.1976227 0.462812 0.08051948 0.01292873 0.09695353 0.2217582 0.007523613 0.04511687 0.004532445 0.5050524 0.1912278 0.1253913 0.01893989 0.1548562
